episode, total_reward, respect, done
episode, total_reward, respect, done
episode, total_reward, respect, done
0, 0.0, 0.0, 0.0
1, -1.412188419769981, 0.0, 0.0
7713, -6872.697127416943, 103.0, 1.0
1262, -1275.9353891730343, 8.0, 1.0
2918, -2376.4205121771975, 60.0, 1.0
391, -375.4136766138442, 4.0, 1.0
3056, -2875.659387744801, 4.0, 1.0
2901, -2363.0358559091896, 50.0, 1.0
2503, -1896.4061412522194, 105.0, 1.0
9192, -8464.710032133495, 115.0, 1.0
1385, -1193.9443325653708, 102.0, 1.0
346, -238.21776148569936, 11.0, 1.0
1227, -1194.1346272024202, 4.0, 1.0
1786, -1276.02339679301, 61.0, 1.0
1892, -1907.9567329068122, 48.0, 1.0
2225, -1863.620731420976, 48.0, 1.0
122, -123.45614911653239, 12.0, 1.0
597, -466.2852930401891, 37.0, 1.0
238, -227.10939913164384, 5.0, 1.0
297, -339.3148070314292, 27.0, 1.0
305, -196.71120001307082, 4.0, 1.0
622, -431.6661628396915, 21.0, 1.0
3504, -2424.1352849967734, 78.0, 1.0
288, -211.59642905527483, 14.0, 1.0
1033, -853.4420376313935, 54.0, 1.0
918, -647.2684405774504, 21.0, 1.0
243, -277.5629316526823, 29.0, 1.0
293, -232.4801783589413, 16.0, 1.0
437, -248.28381672106704, 7.0, 1.0
380, -290.472891952373, 25.0, 1.0
88, -121.735993950147, 14.0, 1.0
2192, -1850.5552148215304, 118.0, 1.0
360, -343.6029585448614, 21.0, 1.0
361, -272.29141451480524, 8.0, 1.0
209, -142.46452733451008, 4.0, 1.0
747, -573.1043949790353, 12.0, 1.0
451, -281.64335836934583, 4.0, 1.0
235, -212.9686540768156, 20.0, 1.0
204, -114.38882890227332, 4.0, 1.0
551, -499.188762147703, 47.0, 1.0
12, -1.5029467533421124, 0.0, 1.0
631, -573.2824231899388, 24.0, 1.0
87, -75.74379555440565, 5.0, 1.0
131, -95.37015125580145, 2.0, 1.0
237, -178.73444884031596, 17.0, 1.0
1162, -1394.838085562796, 177.0, 1.0
269, -185.77510644833552, 3.0, 1.0
239, -310.7878385540563, 41.0, 1.0
819, -870.7706465654746, 42.0, 1.0
216, -255.44296119889268, 20.0, 1.0
254, -279.52786533008316, 30.0, 1.0
352, -295.7476936386865, 24.0, 1.0
208, -182.69252117198604, 8.0, 1.0
143, -147.06991396045845, 12.0, 1.0
61, -46.18570599497864, 2.0, 1.0
31, -42.00041533348619, 3.0, 1.0
550, -896.9613520346866, 121.0, 1.0
1016, -835.3569931527918, 4.0, 1.0
1124, -1122.243927462326, 38.0, 1.0
437, -625.3333529903675, 87.0, 1.0
