episode, total_reward, respect, done
episode, total_reward, respect, done
episode, total_reward, respect, done
0, 0.0, 0.0, 0.0
1, -1.3971696111658116, 0.0, 0.0
3130, -3281.692221629334, 20.0, 1.0
15751, -13539.25622243242, 279.0, 1.0
3337, -2923.7552868685652, 101.0, 1.0
6514, -6866.473840758195, 209.0, 1.0
4029, -4226.426072960128, 32.0, 1.0
4370, -3866.613150739763, 42.0, 1.0
116, -108.32582553387641, 8.0, 1.0
2144, -1857.3730056143402, 26.0, 1.0
146, -118.57304227820862, 7.0, 1.0
534, -497.0991770043895, 44.0, 1.0
901, -748.550809205809, 26.0, 1.0
186, -217.95413565674053, 18.0, 1.0
123, -135.7923869613456, 14.0, 1.0
276, -287.69716082974753, 24.0, 1.0
1065, -1364.5627186250115, 145.0, 1.0
110, -54.10800625227191, 2.0, 1.0
565, -575.9240969311874, 37.0, 1.0
414, -339.4314191064296, 26.0, 1.0
80, -84.64728607938994, 6.0, 1.0
304, -197.3683907679626, 11.0, 1.0
379, -428.6661954462963, 34.0, 1.0
96, -131.6775868918891, 14.0, 1.0
471, -574.6202666000478, 60.0, 1.0
620, -581.2378354099862, 14.0, 1.0
129, -227.57029901551851, 30.0, 1.0
521, -620.1155149930235, 24.0, 1.0
1112, -788.4829086198142, 63.0, 1.0
135, -87.30627590111844, 6.0, 1.0
274, -333.23160208355034, 35.0, 1.0
379, -484.9183372957008, 52.0, 1.0
234, -177.37225024976405, 4.0, 1.0
146, -225.76486655666355, 13.0, 1.0
889, -1209.3752117994934, 19.0, 1.0
142, -128.1984106851809, 12.0, 1.0
407, -548.2329652516806, 66.0, 1.0
314, -213.30949851073876, 18.0, 1.0
82, -80.25038699123142, 9.0, 1.0
99, -64.7571813105787, 4.0, 1.0
208, -221.54324039307247, 25.0, 1.0
63, -44.17552993508877, 3.0, 1.0
1, 0.9725520793637089, 0.0, 1.0
272, -310.4047129467836, 33.0, 1.0
135, -114.20537463885297, 11.0, 1.0
235, -290.7573344779723, 24.0, 1.0
577, -599.8999457292277, 60.0, 1.0
895, -1507.8060001707036, 69.0, 1.0
133, -156.34723540989057, 15.0, 1.0
188, -336.2179965154624, 21.0, 1.0
167, -122.08304226342277, 7.0, 1.0
69, -138.55343768000364, 20.0, 1.0
192, -262.2347136003037, 31.0, 1.0
202, -183.01582800082798, 14.0, 1.0
338, -438.35956535173887, 48.0, 1.0
191, -119.66734205209868, 11.0, 1.0
282, -327.99936996150944, 38.0, 1.0
39, -65.3092422777974, 6.0, 1.0
154, -147.61910734370946, 14.0, 1.0
324, -451.62783832988447, 58.0, 1.0
